2025-08-12 17:22:49 ,register,2,PASS,"enter the first name, last name , click submit button","" 
2025-08-12 17:24:20 ,register,3,FAIL,"enter user name only","Expected condition failed: waiting for presence of element located by: By.xpath: /html/body/div[2]/t" 
2025-08-12 17:28:17 ,register,2,PASS,"enter the first name, last name , click submit button","" 
2025-08-12 17:28:58 ,register,3,FAIL,"enter user name only","Expected condition failed: waiting for presence of element located by: By.xpath: /html/body/div[2]/t" 
2025-08-12 17:29:09 ,register,4,PASS,"enter password only","" 
2025-08-12 17:29:11 ,register,5,PASS,"enter user name and password only","" 
2025-08-12 17:29:13 ,register,6,PASS,"enter user name password and confirm password","" 
2025-08-13 08:41:25 ,register,2,PASS,"enter the first name, last name , click submit button","" 
2025-08-13 08:41:46 ,register,3,PASS,"enter user name only","" 
2025-08-13 08:41:58 ,register,4,PASS,"enter password only","" 
2025-08-13 08:42:00 ,register,5,PASS,"enter user name and password only","" 
2025-08-13 08:42:02 ,register,6,PASS,"enter user name password and confirm password","" 
2025-08-13 09:14:24 ,register,2,FAIL,"enter the first name, last name , click submit button, click register button","Unable to clear element that cannot be edited: <select name="country">" 
2025-08-13 09:15:41 ,register,2,PASS,"enter the first name, last name , click submit button, click register button","" 
2025-08-13 09:15:45 ,register,3,PASS,"enter user name only, click register button","" 
2025-08-13 09:15:48 ,register,4,PASS,"enter password only, click register button","" 
2025-08-13 09:15:51 ,register,5,PASS,"enter user name and password only , click register button","" 
2025-08-13 09:15:55 ,register,6,PASS,"enter user name password and confirm password, click register button","" 
2025-08-13 10:20:13 ,register,2,PASS,"enter the first name, last name , click submit button, click register button","" 
2025-08-13 10:20:17 ,register,3,PASS,"enter user name only, click register button","" 
2025-08-13 10:20:20 ,register,4,PASS,"enter password only, click register button","" 
2025-08-13 10:20:24 ,register,5,PASS,"enter user name and password only , click register button","" 
2025-08-13 10:20:28 ,register,6,PASS,"enter user name password and confirm password, click register button","" 
2025-08-13 10:20:31 ,register,7,PASS,"enter phone number only, click register button","" 
2025-08-13 10:20:40 ,register,8,PASS,"enter phone number with special correcters, click register button","" 
2025-08-13 10:20:43 ,register,9,PASS,"enter wrong email , click register button","" 
2025-08-13 10:20:46 ,register,10,PASS,"enter city name with numarical, click register button","" 
2025-08-13 10:20:52 ,register,11,PASS,"enter province name with numarical, click register button","" 
